MESH:D009062	CDKN2B-AS1
MESH:D055728	CDKN2B-AS1
MESH:D009203	CDKN2B-AS1
MESH:D000077274	CDKN2B-AS1
MESH:D009380	CDKN2B-AS1
MESH:D017253	CDKN2B-AS1
MESH:D009456	CDKN2B-AS1
MESH:D012516	CDKN2B-AS1
MESH:D010051	CDKN2B-AS1
MESH:D010190	CDKN2B-AS1
MESH:D010518	CDKN2B-AS1
MESH:D058729	CDKN2B-AS1
MESH:D018318	CDKN2B-AS1
MESH:D005902	CDKN2B-AS1
MESH:D011471	CDKN2B-AS1
MESH:D011470	CDKN2B-AS1
MESH:D002294	CDKN2B-AS1
MESH:D013274	CDKN2B-AS1
MESH:D020521	CDKN2B-AS1
MESH:D059409	CDKN2B-AS1
MESH:D064726	CDKN2B-AS1
MESH:D003924	CDKN2B-AS1
MESH:D001749	CDKN2B-AS1
MESH:D020521	CDKN2B-AS10
MESH:D020521	CDKN2B-AS11
MESH:D018318	CDKN2B-AS13
MESH:D003324	CDKN2B-AS2
MESH:D002532	CDKN2B-AS3
MESH:D009369	CDKN2B-AS4
MESH:D003924	CDKN2B-AS5
MESH:D009447	CDKN2B-AS6
MESH:D008545	CDKN2B-AS8
MESH:D011225	CEACAMP8
MESH:D013274	CEBPA-AS1
MESH:C535918	CECR3
MESH:C535918	CECR9
MESH:D010051	CERNA2
MESH:D000077216	CERNA2
MESH:D009298	CFAP44
MESH:D000077277	CFLAR-AS1
MESH:D006332	Chaer
MESH:D053040	CHCHD4P4
MESH:D000077192	CHIAP2
MESH:D009101	CHM-1
MESH:D006332	CHRF
MESH:D012829	CHRF
MESH:D010003	CILinc01
MESH:D010003	CILinc02
MESH:D009298	CKAP2L
MESH:D009298	CKAP4
MESH:D009298	CKS2
MESH:D009298	CLIC5
MESH:D008545	COL17A1
MESH:D009101	Col4A2-1
MESH:D008175	CPS1-IT1
MESH:D000077216	CPS1-IT1
MESH:D002583	CRNDE
MESH:D008527	CRNDE
MESH:D015451	CRNDE
MESH:D005706	CRNDE
MESH:D005910	CRNDE
MESH:D018197	CRNDE
MESH:D010051	CRNDE
MESH:D010190	CRNDE
MESH:D013274	CRNDE
MESH:D009437	Ct55
MESH:D000077192	CTB-193M12.5
MESH:D011471	CTB-89H12.4
MESH:D011471	CTBP1-AS
MESH:D010051	CTD-2020K17.1
MESH:D017545	CTD-2184D3.5
MESH:D004938	CTD-2357A8.3
MESH:D013274	CTD-2541M15
MESH:D010003	CTD-2574D22.4
MESH:D013274	CTD-2616J11.14
MESH:C562729	CTD-3080P12.3
MESH:D009298	CTGF
MESH:D009298	CUL4B
MESH:D008545	CXCL8
MESH:D012859	CXCR2P1
MESH:D009101	CXorf64-1
MESH:D003928	CYP4B1-PS1
MESH:D009369	CYTOR
MESH:D000077277	CYTOR
MESH:D005706	CYTOR
MESH:D005909	CYTOR
MESH:D005910	CYTOR
MESH:D000077195	CYTOR
MESH:D000077192	CYTOR
MESH:D010190	CYTOR
MESH:D013274	CYTOR
MESH:D064726	CYTOR
MESH:C536391	D4Z4
MESH:D009447	Dali
MESH:D001847	DANCR
MESH:D001932	DANCR
MESH:D010024	DANCR
MESH:D012516	DANCR
MESH:D011471	DANCR
MESH:D013274	DANCR
MESH:D064726	DANCR
MESH:D001714	DAOA-AS1
MESH:D016584	DAOA-AS1
MESH:D012559	DAOA-AS1
MESH:D013274	DB077273
MESH:D020388	DBET
MESH:C536391	DBET
MESH:D009447	DBH-AS1
MESH:D009298	DCHS2
MESH:D010051	DCST1-AS1
MESH:D000077273	DCTN1-AS1
MESH:D012208	DDN-AS1
MESH:D010190	DDX6P1
MESH:D009447	DeltaMYCN
MESH:D009298	DENND6B
MESH:D005909	DGCR5
MESH:D006816	DGCR5
MESH:D000077192	DGCR5
MESH:D008175	DGCR5
MESH:D004062	DGCR5
MESH:D009298	DGKD
MESH:D012559	DISC1
MESH:D000067877	DISC2
MESH:D001714	DISC2
MESH:D003865	DISC2
MESH:D019964	DISC2
MESH:D011618	DISC2
MESH:D012559	DISC2
MESH:D015451	DLEU1
